date,cluster_name,datacenter,business_unit,storage_platform,usable_capacity_tb,raw_capacity_tb,daily_write_tb_estimate,net_new_storage_tb,starting_used_tb,starting_utilization_tier,used_capacity_tb,free_capacity_tb,capacity_utilization_pct
2013-08-12,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.022566452290726235,0.001805316183258099,915.0793755499424,Low,915.0811808661256,768.6315623749867,54.34900843623795
2013-08-13,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.024850161687663422,0.001988012935013074,915.0793755499424,Low,915.0831688790606,768.6295743620517,54.349126509403526
2013-08-14,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.0227251603347186,0.0018180128267774882,915.0793755499424,Low,915.0849868918874,768.6277563492249,54.34923448582848
2013-08-15,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02429029742974353,0.0019432237943794825,915.0793755499424,Low,915.0869301156818,768.6258131254306,54.349349898852594
2013-08-16,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.020480620792090072,0.0016384496633672057,915.0793755499424,Low,915.0885685653452,768.6241746757671,54.34944721056269
2013-08-17,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.025448349675018335,0.002035867974001467,915.0793755499424,Low,915.0906044333192,768.6221388077931,54.349568125961234
2013-08-18,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.029079069290739598,0.002326325543259168,915.0793755499424,Low,915.0929307588624,768.6198124822499,54.34970629237665
2013-08-19,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02335629247383808,0.0018685033979070464,915.0793755499424,Low,915.0947992622604,768.6179439788519,54.34981726756559
2013-08-20,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.022679157842500068,0.0018143326274000055,915.0793755499424,Low,915.0966135948877,768.6161296462246,54.3499250254141
2013-08-21,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02330480901573489,0.0018643847212587912,915.0793755499424,Low,915.098477979609,768.6142652615033,54.350035755984315
2013-08-22,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.022998915957360127,0.0018399132765888101,915.0793755499424,Low,915.1003178928855,768.6124253482268,54.350145033132925
2013-08-23,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02428674751350268,0.0019429398010802144,915.0793755499424,Low,915.1022608326866,768.6104824084257,54.35026042928995
2013-08-24,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.024216736163882188,0.0019373388931105751,915.0793755499424,Low,915.1041981715798,768.6085450695325,54.350375492794754
2013-08-25,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.021086043797572302,0.0016868835038057841,915.0793755499424,Low,915.1058850550836,768.6068581860287,54.35047568111432
2013-08-26,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02428239317188653,0.0019425914537509223,915.0793755499424,Low,915.1078276465373,768.604915594575,54.35059105658211
2013-08-27,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.024529978576748362,0.001962398286139869,915.0793755499424,Low,915.1097900448235,768.6029531962888,54.35070760842826
2013-08-28,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.024866892544651166,0.001989351403572093,915.0793755499424,Low,915.111779396227,768.6009638448853,54.35082576108889
2013-08-29,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.04450424394391906,0.0035603395155135247,915.0793755499424,Low,915.1153397357425,768.5974035053698,54.35103721874578
2013-08-30,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.039953997407517726,0.003196319792601418,915.0793755499424,Low,915.1185360555352,768.5942071855771,54.35122705634162
2013-08-31,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02115123527334488,0.0016920988218675904,915.0793755499424,Low,915.120228154357,768.5925150867553,54.35132755441225
2013-09-01,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.02256792799922956,0.001805434239938365,915.0793755499424,Low,915.122033588597,768.5907096525153,54.35143478376281
2013-09-02,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.024157597653213708,0.0019326078122570967,915.0793755499424,Low,915.1239661964092,768.5887770447031,54.35154956627664
