month,cluster_name,datacenter,business_unit,storage_platform,usable_capacity_tb,raw_capacity_tb,monthly_write_tb_estimate,monthly_net_new_storage_tb,starting_used_tb,starting_utilization_tier,used_capacity_tb,free_capacity_tb,capacity_utilization_pct
2013-08-01,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.5106575551831578,0.0408526044146526,915.0793755499424,Low,915.120228154357,768.5925150867553,54.35132755441225
2013-08-01,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,1168.0002343434537,1546.093347578489,0.1666690866229176,0.0133335269298334,536.9526121398804,Low,536.9659456668103,631.0342886766434,45.97310256265873
2013-08-01,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,1846.264377706408,2259.61646384935,0.0400620797352134,0.003204966378817,1042.492220773544,Low,1042.495425739923,803.768951966485,56.46512158973693
2013-08-01,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,1606.909957009355,1985.5256494009184,0.0495632934676784,0.0039650634774142,842.5703923521444,Low,842.5743574156218,764.3355995937331,52.43444747730296
2013-08-01,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,766.0057894573505,960.1014914090042,0.0718110771495654,0.0057448861719652,286.13712473949226,Low,286.1428696256642,479.8629198316863,37.3551836766628
2013-08-01,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,1818.0148135901395,2458.557997782485,0.0636292913157605,0.0050903433052608,1079.7291566928666,Low,1079.7342470361718,738.2805665539677,59.39083878551891
2013-08-01,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,1605.363456101558,2093.9374933836,0.0145944931746311,0.0011675594539704,867.3536752763811,Low,867.354842835835,738.008613265723,54.02856527842657
2013-08-01,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,1547.5005489647187,2136.3093189708216,0.1566365404549756,0.012530923236398,845.7339281220657,Low,845.7464590453021,701.7540899194166,54.652417384349775
2013-08-01,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,748.5145656033865,1017.793175548428,0.0291236266657961,0.0023298901332636,460.6161297752329,Watchlist,460.6184596653661,287.8961059380204,61.53767486061626
2013-08-01,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,1234.2143636274675,1565.656094422464,0.053239265369239,0.0042591412295391,807.233353423665,Watchlist,807.2376125648946,426.9767510625729,65.40497634400805
2013-08-01,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,1136.3843312420531,1430.356641195388,0.1286534288853456,0.0102922743108276,732.3948865204419,Watchlist,732.4051787947527,403.9791524473004,64.45048199443612
2013-08-01,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,1940.192329831777,2375.500481042623,0.1262187863490889,0.0100975029079271,1379.887676649549,Watchlist,1379.8977741524568,560.2945556793202,71.12170030442806
2013-08-01,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,1425.8208247980865,1894.5707041371293,0.1249466958650167,0.0099957356692013,965.6568504675078,Watchlist,965.666846203177,460.1539785949095,67.7270824922849
2013-08-01,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,1664.5129954424303,2198.694742560411,0.071550072403186,0.0057240057922548,1335.3990964625973,Medium,1335.4048204683895,329.1081749740408,80.22796001742459
2013-08-01,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,1191.6987556231863,1553.8041380064628,0.0479324572384689,0.0038345965790775,910.8647189455124,Medium,910.8685535420916,280.83020208109485,76.4344637639369
2013-08-01,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,876.6172931983431,1186.3058270341207,0.2151782581097529,0.0172142606487802,651.0845904228893,Medium,651.101804683538,225.51548851480504,74.27435093231956
2013-08-01,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,1277.4544230963118,1742.7941379269191,0.194736681167426,0.015578934493394,990.6128635448748,Medium,990.6284424793682,286.8259806169435,77.54706739973308
2013-08-01,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,697.3296066977716,908.489335377098,0.0896222862179639,0.0071697828974371,506.5274830323611,Medium,506.53465281525854,190.79495388251308,72.63920073808006
2013-08-01,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,1639.0988350264706,2206.972992387389,0.2367486548317194,0.0189398923865375,1425.455202112384,High,1425.4741420047703,213.6246930217003,86.96694253838267
2013-08-01,FS-CLUSTER-20,Atlanta,Analytics,Fast SAN-style storage,1474.6689453607032,1873.8294785075104,0.0484217806688544,0.0038737424535083,1265.118287592291,High,1265.1221613347443,209.5467840259587,85.79024908029757
2013-09-01,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,1683.7127432411123,2115.725282545138,0.3037351444472224,0.0242988115557777,915.0793755499424,Low,915.1445269659127,768.5682162751996,54.35277072288937
2013-09-01,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,1168.0002343434537,1546.093347578489,0.0842892788780704,0.0067431423102456,536.9526121398804,Low,536.9726888091205,631.0275455343332,45.97367988637083
2013-09-01,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,1846.264377706408,2259.61646384935,0.0592978093117315,0.0047438247449385,1042.492220773544,Low,1042.5001695646677,803.7642081417403,56.465378531527165
2013-09-01,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,1606.909957009355,1985.5256494009184,0.0237997711170054,0.0019039816893604,842.5703923521444,Low,842.5762613973111,764.3336956120438,52.434565964445376
2013-09-01,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,766.0057894573505,960.1014914090042,0.0316941993367533,0.0025355359469402,286.13712473949226,Low,286.1454051616112,479.8603842957393,37.35551468407578
2013-09-01,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,1818.0148135901395,2458.557997782485,0.0394002869860642,0.0031520229588851,1079.7291566928666,Low,1079.737399059131,738.2774145310088,59.39101216270678
2013-09-01,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,1605.363456101558,2093.9374933836,0.0073958821673226,0.0005916705733858,867.3536752763811,Low,867.3554345064084,738.0080215951497,54.02860213429064
2013-09-01,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,1547.5005489647187,2136.3093189708216,0.0895409477999259,0.007163275823994,845.7339281220657,Low,845.753622321126,701.7469266435927,54.652880277615225
2013-09-01,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,748.5145656033865,1017.793175548428,0.0173760856953219,0.0013900868556257,460.6161297752329,Watchlist,460.61984975222174,287.89471585116473,61.53786057334912
2013-09-01,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,1234.2143636274675,1565.656094422464,0.0261972985449463,0.0020957838835957,807.233353423665,Watchlist,807.2397083487781,426.9746552786894,65.40514615112951
2013-09-01,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,1136.3843312420531,1430.356641195388,0.0715174126996209,0.0057213930159696,732.3948865204419,Watchlist,732.4109001877687,403.9734310542845,64.45098546785252
2013-09-01,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,1940.192329831777,2375.500481042623,0.0401872967795104,0.0032149837423608,1379.887676649549,Watchlist,1379.900989136199,560.2913406955779,71.12186600881174
2013-09-01,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,1425.8208247980865,1894.5707041371293,0.0654704784041912,0.0052376382723352,965.6568504675078,Watchlist,965.6720838414492,460.1487409566372,67.72744983425251
2013-09-01,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,1664.5129954424303,2198.694742560411,0.0129368033471142,0.0010349442677691,1335.3990964625973,Medium,1335.4058554126573,329.10714002977306,80.22802219442595
2013-09-01,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,1191.6987556231863,1553.8041380064628,0.0318336064030773,0.0025466885122461,910.8647189455124,Medium,910.8711002306038,280.8276553925825,76.43467746630928
2013-09-01,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,876.6172931983431,1186.3058270341207,0.0358454255849278,0.0028676340467942,651.0845904228893,Medium,651.1046723175848,225.51262088075828,74.27467805728834
