date,cluster_name,datacenter,business_unit,storage_platform,vm_count,avg_memory_utilization_pct,p95_memory_utilization_pct,avg_disk_read_kbps,avg_disk_write_kbps,avg_disk_total_kbps,p95_disk_total_kbps,avg_network_total_kbps,high_disk_spike_count
2013-08-12,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage,58,10.659622715163696,20.606087932976937,1584.2138693481156,280.4461069890436,1864.6599763371592,3498.8168965517243,80.2035761652141,287
2013-08-12,FS-CLUSTER-02,Indianapolis,Operations,Fast SAN-style storage,59,11.55254049683843,20.28942289119242,167.69033765123163,134.66747875097383,302.35781640220534,2611.0001129943503,66.9491752483893,387
2013-08-12,FS-CLUSTER-03,Dallas,Finance,Fast SAN-style storage,58,12.363607021719025,19.04705064607843,616.6112536008671,16.107775962913617,632.7190295637806,776.6560344827584,37.58535740770168,678
2013-08-12,FS-CLUSTER-04,Atlanta,Customer Systems,Fast SAN-style storage,61,8.602490161428996,15.35180995762668,68.47591223960539,28.340097347566942,96.81600958717232,339.46055327868845,42.97345068117146,655
2013-08-12,FS-CLUSTER-05,Memphis,Analytics,Fast SAN-style storage,58,12.900742310962952,20.566653039037423,34.122249810194745,38.77706456502341,72.89931437521817,220.27275862068964,133.5918804267664,438
2013-08-12,FS-CLUSTER-06,Indianapolis,Logistics,Fast SAN-style storage,59,8.435875216670663,14.99281020879002,40.75900665308812,35.55693282023243,76.31593947332055,182.45785310734453,53.27189856343765,379
2013-08-12,FS-CLUSTER-07,Dallas,Operations,Fast SAN-style storage,56,10.428782166329064,17.640086865565486,3.759773425499232,8.441175901191743,12.200949326690973,25.097857142857123,45.35245274598673,458
2013-08-12,FS-CLUSTER-08,Atlanta,Finance,Fast SAN-style storage,59,10.873963460320642,19.73473842098708,645.9783923111697,155.42462641468248,801.4030187258523,3636.127621982536,216.71726393253184,617
2013-08-12,FS-CLUSTER-09,Memphis,Customer Systems,Fast SAN-style storage,58,13.591903043540622,21.97609016817017,0.887537078235076,15.511713590373908,16.399250668608985,35.27454465075152,35.90861331845759,595
2013-08-12,FS-CLUSTER-10,Indianapolis,Analytics,Fast SAN-style storage,56,11.324379213034232,16.987021757874547,688.7225791681437,34.42738750664658,723.1499666747902,1022.0815263605438,81.17169761282305,270
2013-08-12,FS-CLUSTER-11,Dallas,Logistics,Fast SAN-style storage,60,10.736680676055594,19.586521957271376,21.925843573988736,84.36010248040489,106.28594605439363,471.95389743589664,33.9704684115168,649
2013-08-12,FS-CLUSTER-12,Atlanta,Operations,Fast SAN-style storage,59,9.317801212766009,16.805881406634114,673.10102866766,78.14164834163468,751.2426770092948,1396.8321317594823,112.10625264110774,545
2013-08-12,FS-CLUSTER-13,Memphis,Finance,Fast SAN-style storage,60,9.597577453802838,17.41489554084422,6.855405785970302,19.73376831501832,26.58917410098861,64.47688888888885,76.74007840501791,356
2013-08-12,FS-CLUSTER-14,Indianapolis,Customer Systems,Fast SAN-style storage,56,11.263416216631038,18.27458579352205,9.83408561005047,65.35832402284736,75.19240963289782,116.21827380952368,163.62926210134592,339
2013-08-12,FS-CLUSTER-15,Dallas,Analytics,Fast SAN-style storage,60,7.313508532611942,12.03272827804306,6.082827356335421,28.99803216049184,35.08085951682725,73.40912742812738,46.7678753146495,838
2013-08-12,FS-CLUSTER-16,Atlanta,Logistics,Fast SAN-style storage,57,9.918674451690746,16.82988746988424,204.6168491336997,22.847002627159675,227.46385176085943,1179.0979583574317,42.66886309549722,289
2013-08-12,FS-CLUSTER-17,Memphis,Operations,Fast SAN-style storage,54,11.655127170095929,20.18073249350474,12.999312639769627,48.05322414708616,61.05253678685579,159.9554320987654,64.3100329976674,439
2013-08-12,FS-CLUSTER-18,Indianapolis,Finance,Fast SAN-style storage,55,10.856854631334388,19.807188688923336,26.99550305266581,14.307831754836888,41.30333480750269,82.00145454545452,69.22842041918655,506
2013-08-12,FS-CLUSTER-19,Dallas,Customer Systems,Fast SAN-style storage,58,9.560683056096169,15.70939482436611,125.04816633936142,99.07449182954606,224.12265816890744,1316.9525944170769,131.11079046092948,419
