vm_id,trace_type,cluster_name,datacenter,business_unit,storage_platform
fastStorage_2013-8_1002,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1084,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_110,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1104,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_111,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1113,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1128,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1143,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1156,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1175,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1197,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1199,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_120,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_1246,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_127,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_132,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_136,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_138,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_145,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_15,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_155,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_164,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_176,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_217,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_250,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_273,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_300,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_32,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_331,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_338,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_342,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_379,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_401,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_408,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_432,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_446,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_463,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_49,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_577,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_59,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_634,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_644,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_653,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_657,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_66,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_701,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_708,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_711,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_718,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_734,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_742,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
fastStorage_2013-8_752,fastStorage,FS-CLUSTER-01,Memphis,Logistics,Fast SAN-style storage
